STATION,STATION_NAME,DATE,PRCP,SNOW,TSUN,TMAX,TMIN,AWND
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141020,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141021,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141022,0.04,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141023,2.34,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141024,0.77,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141025,0.02,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141026,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141027,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141028,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141029,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141030,0.10,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141031,0.01,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141101,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141102,0.58,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141103,0.01,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141104,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141105,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141106,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141107,0.44,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141108,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141109,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141110,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141111,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141112,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141113,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141114,0.22,0.2,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141115,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141116,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141117,0.43,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141118,0.93,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141119,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141120,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141121,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141122,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141123,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141124,0.23,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141125,0.26,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141126,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141127,1.65,4.9,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141128,0.02,0.4,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141129,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141130,0.00,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141201,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141202,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141203,0.49,0.2,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141204,0.05,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141205,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141206,0.52,0.2,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141207,0.74,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141208,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141209,0.01,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141210,2.16,-9999,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141211,0.21,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141212,0.04,0.2,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141213,0.00,0.0,-9999,-9999,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141214,0.00,0.0,-9999,-9999,-9999,-9999
